pmid,title,abstract,in_linguistic,in_setfit,ling_score,setfit_confidence,primary_entity_long,primary_entity_short,primary_score,status,matched_long_short,all_long,all_short,ner_source,ner_confidence,entity_from_title,db_keyword_found,db_keyword_score,title_entity_in_ner,very_high_conf,all_urls,resource_url,has_resource_url,url_context,article_count
36702059,Chemo-structural diversity of anti-obesity compound database.,"Nature plays a major role in the development of new drugs which helps in preventing and treating human diseases. Anti-obesity compound database (AOCD) contains comprehensive information on all published small molecules from natural sources with anti-obesity potential targeting pancreatic lipase (PL), appetite suppressant (AS) and adipogenesis (AD). Presently the database contains 349 compounds isolated from 307 plants, 26 marine and 16 microbial sources. Users can query the AOCD database (https://aocd.swmd.co.in/) in several ways. The database was divided into three datasets (PL, AS and AD) to perform chemoinformatic analysis using Platform for Unified Molecular Analysis (PUMA), which were analyzed based on molecular descriptors, scaffold diversity and structural fingerprint diversity. Chemoinformatics study inferred the PL dataset has the highest diversity of compounds based on the Euclidean distance on molecular properties, scaffold diversity and pairwise similarity on fingerprint diversity. This study would hasten the process of anti-obesity drug discovery.",False,True,,0.6923511,anti-obesity compound database,,20.79846126,ok,,,aocd | puma,spacy+v2,0.79846126,,True,5,False,False,https://aocd.swmd.co.in/,https://aocd.swmd.co.in/,True,...obial sources. Users can query the AOCD database (https://aocd.swmd.co.in/) in several ways. The database was divided into t...,1
40328764,OSMlanduse a dataset of European Union land use at 10 m resolution derived from OpenStreetMap and Sentinel-2.,"Our map represents the first successful large-area fusion of OpenStreetMap and Copernicus data at a spatial resolution of 10 m or finer and can be applied globally. We addressed varying label noise and feature space quality, utilizing artificial intelligence and advanced computing. Our method relies solely on openly available data streams and methods, eliminating training data acquisition or the need for additional expert knowledge for such purpose. We extracted land use labels from OpenStreetMap and remote sensing data to create a contiguous land use map of the European Union as of March 2020. OpenStreetMap tags were translated into land use labels, directly mapping 61.8% of the Union's area. These labels served as training data for a classification model, predicting land use in remaining areas. Country-specific deep learning convolutional neural networks and Sentinel-2 feature space composites of 2020 at 10 m resolution were employed. The overall map accuracy is 89%, with class-specific accuracies ranging from 77% to 99%. The data set is available for download from https://doi.org/10.11588/data/IUTCDN and visualization at https://osmlanduse.org .",False,True,,0.7096734,osmlanduse,,16.99627554,ok,,openstreetmap,,v2,0.99627554,,False,0,False,False,https://osmlanduse.org,https://osmlanduse.org,True,...doi.org/10.11588/data/IUTCDN and visualization at https://osmlanduse.org .,1
37671181,RetroBioCat Database: A Platform for Collaborative Curation and Automated Meta-Analysis of Biocatalysis Data.,"Despite the increasing use of biocatalysis for organic synthesis, there are currently no databases that adequately capture synthetic biotransformations. The lack of a biocatalysis database prevents accelerating biocatalyst characterization efforts from being leveraged to quickly identify candidate enzymes for reactions or cascades, slowing their development. The RetroBioCat Database (available at retrobiocat.com) addresses this gap by capturing information on synthetic biotransformations and providing an analysis platform that allows biocatalysis data to be searched and explored through a range of highly interactive data visualization tools. This database makes it simple to explore available enzymes, their substrate scopes, and how characterized enzymes are related to each other and the wider sequence space. Data entry is facilitated through an openly accessible curation platform, featuring automated tools to accelerate the process. The RetroBioCat Database democratizes biocatalysis knowledge and has the potential to accelerate biocatalytic reaction development, making it a valuable resource for the community.",False,True,,0.7253181,retrobiocat,,16.9823994,ok,,,,v2,0.9823994,RetroBioCat Database,True,5,False,False,retrobiocat.com,retrobiocat.com,True,...velopment. The RetroBioCat Database (available at retrobiocat.com) addresses this gap by capturing information on s...,1
40584559,"KSGP 3.1: improved taxonomic annotation of Archaea communities using LotuS2, the genome taxonomy database and RNAseq data.","Taxonomic annotation is a substantial challenge for Archaea metabarcoding. A limited number of reference sequences are available; a substantial fraction of phylogenetic diversity is not fully characterized; widely used databases do not reflect current archaeal taxonomy and contain mislabelled sequences. We address these gaps with a systematic and tractable approach based around the Genome Taxonomy Database (GTDB) combined with the eukaryote PR2 and MIDORI mitochondrial databases. After removing incongruent, chimeric and duplicate SSU sequences, this combination (<i>GTDB+</i>) provides a small improvement in annotation of a set of estuarine Archaea Operational Taxonomic Units (OTUs) compared to SILVA. We add to this a collection of near full length rRNA sequences and the prokaryote SSU sequences in SILVA, creating a new reference database, KSGP ( <b><i>K</i></b> arst, <b><i>S</i></b> ilva, <b><i>G</i></b> TDB, and <b>P</b>R2). The additional sequences are (re-)annotated using three different approaches. The most conservative, using lowest common ancestor, gives a further small improvement. Annotation using SINTAX increases Class and Order assignments by 2.7 and 4.2 times over SILVA, although this may include some ""lumping"" of un-named and named clades. Still further improvement can be made using similarity based clustering to group database sequences into putative taxa at all taxonomic levels, assigning 60% and 41% of Archaea OTUs to putative family and genus level taxa respectively. GTDB without cleaning and GreenGenes2 both perform poorly and cannot be recommended for use with Archaea. We make the GTDB+ and KSGP databases available at ksgp.earlham.ac.uk; integrate them into a metabarcoding pipeline, LotuS2 and outline their use to annotate Archaea OTUs and metatranscriptomic data.",False,True,,0.70528305,,ksgp,16.9760975,ok,,genome taxonomy database,gtdb | midori | silva | tdb | sintax,v2,0.9760975,KSGP,True,5,True,True,ksgp.earlham.ac.uk,ksgp.earlham.ac.uk,True,"...We make the GTDB+ and KSGP databases available at ksgp.earlham.ac.uk; integrate them into a metabarcoding pipeline, Lo...",1
38613887,PhosMap: An ensemble bioinformatic platform to empower interactive analysis of quantitative phosphoproteomics.,"<h4>Background</h4>Liquid chromatography-mass spectrometry (LC-MS)-based quantitative phosphoproteomics has been widely used to detect thousands of protein phosphorylation modifications simultaneously from the biological specimens. However, the complicated procedures for analyzing phosphoproteomics data has become a bottleneck to widening its application.<h4>Methods</h4>Here, we develop PhosMap, a versatile and scalable tool to accomplish phosphoproteomics data analysis. A standardized phosphorylation data format was created for data analyses, from data preprocessing to downstream bioinformatic analyses such as dimension reduction, differential phosphorylation analysis, kinase activity, survival analysis, and so on. For better usability, we distribute PhosMap as a Docker image for easy local deployment upon any of Windows, Linux, and Mac system.<h4>Results</h4>The source code is deposited at https://github.com/BADD-XMU/PhosMap. A free PhosMap webserver (https://huggingface.co/spaces/Bio-Add/PhosMap), with easy-to-follow fashion of dashboards, is curated for interactive data analysis.<h4>Conclusions</h4>PhosMap fills the technical gap of large-scale phosphorylation research by empowering researchers to process their own phosphoproteomics data expediently and efficiently, and facilitates better data interpretation.",False,True,,0.72159517,,hosmap,16.953189000000002,ok,,phosmap,,v2,0.953189,PhosMap,False,0,False,False,https://huggingface.co/spaces/Bio-Add/PhosMap,https://huggingface.co/spaces/Bio-Add/PhosMap,True,"...b.com/BADD-XMU/PhosMap. A free PhosMap webserver (https://huggingface.co/spaces/Bio-Add/PhosMap), with easy-to-follow fashion of dashboards, is c...",1
34875068,"IMGT® databases, related tools and web resources through three main axes of research and development.","IMGT®, the international ImMunoGeneTics information system®, http://www.imgt.org/, is at the forefront of the immunogenetics and immunoinformatics fields with more than 30 years of experience. IMGT® makes available databases and tools to the scientific community pertaining to the adaptive immune response, based on the IMGT-ONTOLOGY. We focus on the recent features of the IMGT® databases, tools, reference directories and web resources, within the three main axes of IMGT® research and development. Axis I consists in understanding the adaptive immune response, by deciphering the identification and characterization of the immunoglobulin (IG) and T cell receptor (TR) genes in jawed vertebrates. It is the starting point of the two other axes, namely the analysis and exploration of the expressed IG and TR repertoires based on comparison with IMGT reference directories in normal and pathological situations (Axis II) and the analysis of amino acid changes and functions of 2D and 3D structures of antibody and TR engineering (Axis III).",False,True,,0.6985041,,imgt®,16.950653799999998,ok,,,,v2,0.9506538,,True,8,False,False,http://www.imgt.org/,http://www.imgt.org/,True,"...international ImMunoGeneTics information system®, http://www.imgt.org/, is at the forefront of the immunogenetics and im...",1
39475188,mVOC 4.0: a database of microbial volatiles.,"Metabolomic microbiome research has become an important topic for understanding agricultural, ecological as well as health correlations. Only the determination of both the non-volatile and the volatile organic compound (mVOC) production by microorganisms allows a holistic view for understanding the complete potential of metabolomes and metabolic capabilities of bacteria. In the recent past, more and more bacterial headspaces and culture media were analyzed, leading to an accumulation of about 3500 mVOCs in the updated mVOC 4.0 database, including compounds synthesized by the newly discovered non-canonical terpene pathway. Approximately 10% of all mVOCs can be assigned with a biological function, some mVOCs have the potential to impact agriculture in the future (e.g. eco-friendly pesticides) or animal and human health care. mVOC 4.0 offers various options for exploring extensively annotated mVOC data from different perspectives, including improved mass spectrometry matching. The mVOC 4.0 database includes literature searches with additional relevant keywords, making it the most up-to-date and comprehensive publicly available mVOC platform at: http://bioinformatics.charite.de/mvoc.",False,True,,0.71936715,,mvoc 4,16.91462284,ok,,a database of microbial volatiles | mvoc 4.0,mvoc,v2,0.91462284,mVOC,True,5,False,False,http://bioinformatics.charite.de/mvoc,http://bioinformatics.charite.de/mvoc,True,...omprehensive publicly available mVOC platform at: http://bioinformatics.charite.de/mvoc.,1
40996703,The Microbe Directory: a centralized database for biological interpretation of microbiome data.,"The Microbe Directory (TMD) is a centralized database of metadata for microbes from all domains that helps with the biological interpretation of metagenomic data. The database comprises phenotypical and ecological traits of microorganisms, which have been verified by independent manual annotations. This effort has been possible by the help of a community of volunteer students worldwide who were trained in manual curation of microbiology data. To summarize this information, we have built an interactive browser that makes the database accessible to everyone, including non-bioinformaticians. We used the TMD data to analyse microbiome samples from different projects such as MetaSUB, TARA Oceans, Human Microbiome Project, and Sponge Microbiome Project, showcasing the utility of TMD. Furthermore, we compare our microbial annotations with annotations collected by artificial intelligence (AI) and demonstrate that despite the high speed of AI in reviewing and collecting microbial data, annotation requires domain knowledge and therefore manual curation. Collectively, TMD provides a unique source of information that can help to interpret microbiome data and uncover biological associations. Database URL: www.themicrobedirectory.com/.",False,True,,0.7249054,microbe directory,,16.894969760000002,ok,,,tmd,v2,0.89496976,Microbe Directory,True,5,True,True,http://www.themicrobedirectory.com/,http://www.themicrobedirectory.com/,True,,1
37930837,INTEDE 2.0: the metabolic roadmap of drugs.,"The metabolic roadmap of drugs (MRD) is a comprehensive atlas for understanding the stepwise and sequential metabolism of certain drug in living organisms. It plays a vital role in lead optimization, personalized medication, and ADMET research. The MRD consists of three main components: (i) the sequential catalyses of drug and its metabolites by different drug-metabolizing enzymes (DMEs), (ii) a comprehensive collection of metabolic reactions along the entire MRD and (iii) a systematic description on efficacy & toxicity for all metabolites of a studied drug. However, there is no database available for describing the comprehensive metabolic roadmaps of drugs. Therefore, in this study, a major update of INTEDE was conducted, which provided the stepwise & sequential metabolic roadmaps for a total of 4701 drugs, and a total of 22 165 metabolic reactions containing 1088 DMEs and 18 882 drug metabolites. Additionally, the INTEDE 2.0 labeled the pharmacological properties (pharmacological activity or toxicity) of metabolites and provided their structural information. Furthermore, 3717 drug metabolism relationships were supplemented (from 7338 to 11 055). All in all, INTEDE 2.0 is highly expected to attract broad interests from related research community and serve as an essential supplement to existing pharmaceutical/biological/chemical databases. INTEDE 2.0 can now be accessible freely without any login requirement at: http://idrblab.org/intede/.",False,True,,0.668344,metabolic roadmap,,16.69299257,ok,,,intede | mrd,v2,0.69299257,INTEDE,False,0,False,False,http://idrblab.org/intede/,http://idrblab.org/intede/,True,...cessible freely without any login requirement at: http://idrblab.org/intede/.,1
38285683,&lt;i&gt;Hist-i-fy&lt;/i&gt;-a multiple histidine post-translational-modification (PTM) prediction server based on protein sequences using convolution neural network: a case study on mass spectroscopy data.,"Computational characterization of multiple Histidine (His) post-translational-modifications (PTM) at enzyme active sites complements tedious experimental characterization in proteins-of-unknown-functions (PUFs) and domain-of-unknown-functions (DUFs). There are only a handful of Histidine-PTM-prediction-tools and those also annotate only a single function. Here, we addressed the problem using artificial neural networks on functional histidine dataset curated from enzyme (protein) sequences available in UniProt database (sample size <i>n</i> = 1584). The convolution-neural-network (CNN) model ('Hist-i-fy') performed the best with 75% overall accuracy/F1-score. A case study was performed on histidine-phosphorylation (<i>n</i> = 34) obtained from mass spectroscopy data. For the first time, we report multiple His-PTM-prediction-tool (https://histify.streamlit.app/& https://github.com/dibyansu24-maker/Histify), with optimal performance. The inputs to the tool are (i) protein sequence containing histidine, and (ii) the histidine residue number. Prediction output is one out of the eight histidine functions-acetylation, ribosylation, glycosylation, hydroxylation, methylation, oxidation, phosphorylation, and protein splicing.",False,True,,0.6641169,,y,16.5834216,ok,,uniprot,cnn,v2,0.5834216,&lt;i&gt;Hist-i-fy&lt;/i&gt;-a multiple histidine post-translational-modification (PTM) prediction server based on protein sequences using convolution neural network,True,5,False,False,https://histify.streamlit.app/&,https://histify.streamlit.app/&,True,"...time, we report multiple His-PTM-prediction-tool (https://histify.streamlit.app/& https://github.com/dibyansu24-maker/Histify), wit...",1
38427684,CRISPRals: A Web Database for Assessing the CRISPR Defense System in the <i>Ralstonia solanacearum</i> Species Complex to Avoid Phage Resistance.,"Clustered regularly interspaced short palindromic repeats (CRISPR) has been widely characterized as a defense system against phages and other invading elements in bacteria and archaea. A low percentage of <i>Ralstonia solanacearum</i> species complex (RSSC) strains possess the CRISPR array and the CRISPR-associated proteins (Cas) that would confer immunity against various phages. To provide a wide-range screen of the CRISPR presence in the RSSC, we analyzed 378 genomes of RSSC strains to find the CRISPR locus. We found that 20.1, 14.3, and 54.5% of the <i>R. solanacearum</i>, <i>R. pseudosolanacearum</i>, and <i>R. syzygii</i> strains, respectively, possess the CRISPR locus. In addition, we performed further analysis to identify the respective phages that are restricted by the CRISPR arrays. We found 252 different phages infecting different strains of the RSSC, by means of the identification of similarities between the protospacers in phages and spacers in bacteria. We compiled this information in a database with web access called CRISPRals (https://crisprals.yachaytech.edu.ec/). Additionally, we made available a number of tools to detect and identify CRISPR array and Cas genes in genomic sequences that could be uploaded by users. Finally, a matching tool to relate bacteria spacer with phage protospacer sequences is available. CRISPRals is a valuable resource for the scientific community that contributes to the study of bacteria-phage interaction and a starting point that will help to design efficient phage therapy strategies.",False,True,,0.6898332,crisprals,,16.0,ok,,complex to avoid phage resistance,rssc,spacy,0.0,CRISPRals,True,5,True,True,https://crisprals.yachaytech.edu.ec/,https://crisprals.yachaytech.edu.ec/,True,"...n in a database with web access called CRISPRals (https://crisprals.yachaytech.edu.ec/). Additionally, we made available a number of too...",1
35609980,GEOexplorer: a webserver for gene expression analysis and visualisation.,"Gene Expression Omnibus (GEO) is a database repository hosting a substantial proportion of publicly available high throughput gene expression data. Gene expression analysis is a powerful tool to gain insight into the mechanisms and processes underlying the biological and phenotypic differences between sample groups. Despite the wide availability of gene expression datasets, their access, analysis, and integration are not trivial and require specific expertise and programming proficiency. We developed the GEOexplorer webserver to allow scientists to access, integrate and analyse gene expression datasets without requiring programming proficiency. Via its user-friendly graphic interface, users can easily apply GEOexplorer to perform interactive and reproducible gene expression analysis of microarray and RNA-seq datasets, while producing a wealth of interactive visualisations to facilitate data exploration and interpretation, and generating a range of publication ready figures. The webserver allows users to search and retrieve datasets from GEO as well as to upload user-generated data and combine and harmonise two datasets to perform joint analyses. GEOexplorer, available at https://geoexplorer.rosalind.kcl.ac.uk, provides a solution for performing interactive and reproducible analyses of microarray and RNA-seq gene expression data, empowering life scientists to perform exploratory data analysis and differential gene expression analysis on-the-fly without informatics proficiency.",False,True,,0.7234339,geoexplorer,geo,16.0,conflict,geo | gene expression omnibus,gene expression omnibus,,spacy,0.0,GEOexplorer,True,5,True,True,https://geoexplorer.rosalind.kcl.ac.uk,https://geoexplorer.rosalind.kcl.ac.uk,True,"...perform joint analyses. GEOexplorer, available at https://geoexplorer.rosalind.kcl.ac.uk, provides a solution for performing interactive a...",1
37986230,DRMref: comprehensive reference map of drug resistance mechanisms in human cancer.,"Drug resistance poses a significant challenge in cancer treatment. Despite the initial effectiveness of therapies such as chemotherapy, targeted therapy and immunotherapy, many patients eventually develop resistance. To gain deep insights into the underlying mechanisms, single-cell profiling has been performed to interrogate drug resistance at cell level. Herein, we have built the DRMref database (https://ccsm.uth.edu/DRMref/) to provide comprehensive characterization of drug resistance using single-cell data from drug treatment settings. The current version of DRMref includes 42 single-cell datasets from 30 studies, covering 382 samples, 13 major cancer types, 26 cancer subtypes, 35 treatment regimens and 42 drugs. All datasets in DRMref are browsable and searchable, with detailed annotations provided. Meanwhile, DRMref includes analyses of cellular composition, intratumoral heterogeneity, epithelial-mesenchymal transition, cell-cell interaction and differentially expressed genes in resistant cells. Notably, DRMref investigates the drug resistance mechanisms (e.g. Aberration of Drug's Therapeutic Target, Drug Inactivation by Structure Modification, etc.) in resistant cells. Additional enrichment analysis of hallmark/KEGG (Kyoto Encyclopedia of Genes and Genomes)/GO (Gene Ontology) pathways, as well as the identification of microRNA, motif and transcription factors involved in resistant cells, is provided in DRMref for user's exploration. Overall, DRMref serves as a unique single-cell-based resource for studying drug resistance, drug combination therapy and discovering novel drug targets.",False,True,,0.6975954,,drmref,16.0,ok,,kyoto encyclopedia of genes and genomes)/go,kegg,spacy,0.0,DRMref,False,0,True,False,https://ccsm.uth.edu/DRMref/,https://ccsm.uth.edu/DRMref/,True,"...level. Herein, we have built the DRMref database (https://ccsm.uth.edu/DRMref/) to provide comprehensive characterization of dru...",1
35659771,InflamNat: web-based database and predictor of anti-inflammatory natural products.,"Natural products (NPs) are a valuable source for anti-inflammatory drug discovery. However, they are limited by the unpredictability of the structures and functions. Therefore, computational and data-driven pre-evaluation could enable more efficient NP-inspired drug development. Since NPs possess structural features that differ from synthetic compounds, models trained with synthetic compounds may not perform well with NPs. There is also an urgent demand for well-curated databases and user-friendly predictive tools. We presented a comprehensive online web platform (InflamNat, http://www.inflamnat.com/ or http://39.104.56.4/ ) for anti-inflammatory natural product research. InflamNat is a database containing the physicochemical properties, cellular anti-inflammatory bioactivities, and molecular targets of 1351 NPs that tested on their anti-inflammatory activities. InflamNat provides two machine learning-based predictive tools specifically designed for NPs that (a) predict the anti-inflammatory activity of NPs, and (b) predict the compound-target relationship for compounds and targets collected in the database but lacking existing relationship data. A novel multi-tokenization transformer model (MTT) was proposed as the sequential encoder for both predictive tools to obtain a high-quality representation of sequential data. The experimental results showed that the proposed predictive tools achieved an AUC value of 0.842 and 0.872 in the prediction of anti-inflammatory activity and compound-target interactions, respectively.",False,True,,0.7022784,inflamnat,,16.0,ok,,web-based database and predictor of anti-inflammatory natural products,,spacy,0.0,InflamNat,True,5,True,True,http://www.inflamnat.com/ | http://39.104.56.4/,http://www.inflamnat.com/,True,"...d a comprehensive online web platform (InflamNat, http://www.inflamnat.com/ or http://39.104.56.4/ ) for anti-inflammatory na...",1
39380496,MicroEpitope: an atlas of immune epitopes derived from cancer microbiomes.,"The majority of human cancers harbor molecular evidence of intratumoral microbiota. Microbiota-derived epitopes as molecular mimics of tumor antigens can bind human leukocyte antigen (HLA), thereby modulating host immunity. However, many questions remain regarding the mechanisms underlying the interactions between microbiota and the host's immune system in cancer. Here, MicroEpitope (http://bio-bigdata.hrbmu.edu.cn/MicroEpitope) was developed to provide and analyze the atlas of microbiota-derived epitopes in cancer. We manually collected available mass spectrometry (MS)-based HLA immunopeptidomes of 1190 samples across 24 cancer types. Alignment was performed against an in-house constructed theoretical library of human and intratumor microbiome encoded proteins, including 1298 bacterial and 124 viral species. Currently, MicroEpitope contains 51 497 bacteria and 767 virus-derived epitopes, mainly originating from Bacillus subtilis, Buchnera aphidicola and human cytomegalovirus. The common immunogenic features of epitopes were calculated, as well as their biochemical properties and the clinical relevance of corresponding bacteria and viruses across cancers. MicroEpitope also provides five analytical tools, and multiple visualization methods to facilitate understanding of the roles of microbiota-derived epitopes in cancer immunity. In summary, MicroEpitope represents a vital resource for investigating HLA-presented immunopeptidomes derived from cancer microbiomes, and could further enable rich insight in tumor antigen prioritization strategies.",False,True,,0.6293816,microepitope,,16.0,ok,,an atlas of immune epitopes derived from cancer microbiomes,,spacy,0.0,MicroEpitope,False,0,True,False,http://bio-bigdata.hrbmu.edu.cn/MicroEpitope,http://bio-bigdata.hrbmu.edu.cn/MicroEpitope,True,"...st's immune system in cancer. Here, MicroEpitope (http://bio-bigdata.hrbmu.edu.cn/MicroEpitope) was developed to provide and analyze the atlas o...",1
